epoch,train_loss,val_loss,train_accuracy,val_accuracy,overfitting_gap,learning_rate
1,0.1475,0.1387,0.7840,0.8582,-0.0088,0.000293
2,0.1432,0.1699,0.8081,0.8137,0.0267,0.000271
3,0.1530,0.1451,0.7636,0.7897,-0.0079,0.000238
4,0.1474,0.1551,0.7762,0.7969,0.0076,0.000196
5,0.1392,0.1551,0.8115,0.8233,0.0160,0.000150
6,0.1245,0.1174,0.8566,0.8894,-0.0071,0.000104
7,0.1207,0.0962,0.8794,0.9339,-0.0245,0.000062
8,0.1031,0.1110,0.9121,0.9062,0.0079,0.000029
9,0.0856,0.1033,0.9273,0.9219,0.0177,0.000007
10,0.0794,0.0899,0.9354,0.9423,0.0106,0.000300
11,0.1599,0.1904,0.7280,0.6310,0.0304,0.000298
12,0.1678,0.1520,0.6452,0.7248,-0.0158,0.000293
13,0.1681,0.1479,0.6374,0.7320,-0.0202,0.000284
14,0.1683,0.1896,0.6244,0.4050,0.0213,0.000271
15,0.1739,0.1686,0.5170,0.6406,-0.0053,0.000256
16,0.1739,0.1754,0.5054,0.4062,0.0015,0.000238
17,0.1736,0.1708,0.5026,0.5950,-0.0028,0.000218
18,0.1736,0.1720,0.4990,0.5950,-0.0015,0.000196
19,0.1735,0.1729,0.4968,0.5950,-0.0006,0.000173
20,0.1735,0.1745,0.5035,0.4772,0.0010,0.000150

GENERALIZATION METRICS:
- Max Overfitting Gap: 3.04%
- Best Val Accuracy: 94.23% (epoch 10)
- Test Accuracy: 94.23%
- Train/Test Accuracy Delta: 43.88%
- Cross-validation Mean +/- Std: See cv_results.txt
